time,src,dst,protocol,length
1784851847.6891334,4.150.223.102,192.168.8.138,6,153
1784851847.6891334,192.168.8.138,4.150.223.102,6,491
1784851847.8682325,192.168.8.138,20.42.65.84,6,167
1784851847.8682325,192.168.8.138,20.42.65.84,6,93
1784851847.8682325,192.168.8.138,20.42.65.84,6,1454
1784851847.8682325,192.168.8.138,20.42.65.84,6,1454
1784851847.8682325,192.168.8.138,20.42.65.84,6,300
1784851847.981796,4.150.223.102,192.168.8.138,6,1454
1784851847.981796,4.150.223.102,192.168.8.138,6,1454
1784851847.9827037,4.150.223.102,192.168.8.138,6,1454
1784851847.9827037,4.150.223.102,192.168.8.138,6,1454
1784851847.9827037,4.150.223.102,192.168.8.138,6,1090
1784851847.9827037,192.168.8.138,4.150.223.102,6,54
1784851847.9837139,192.168.8.138,4.150.223.102,6,1454
1784851847.9837139,192.168.8.138,4.150.223.102,6,877
1784851848.1546593,20.42.65.84,192.168.8.138,6,93
1784851848.171852,20.42.65.84,192.168.8.138,6,54
1784851848.1733572,192.168.8.138,20.42.65.84,6,54
1784851848.246506,4.150.223.102,192.168.8.138,6,157
1784851848.2622325,4.150.223.102,192.168.8.138,6,519
1784851848.2622325,192.168.8.138,4.150.223.102,6,54
1784851848.2622325,192.168.8.138,4.150.223.102,6,78
1784851848.2622325,192.168.8.138,4.150.223.102,6,54
1784851848.2622325,4.150.223.102,192.168.8.138,6,54
1784851848.2622325,192.168.8.138,4.150.223.102,6,54
1784851848.4410977,20.42.65.84,192.168.8.138,6,154
1784851848.4410977,192.168.8.138,20.42.65.84,6,89
1784851848.5489316,4.150.223.102,192.168.8.138,6,54
1784851848.767567,20.42.65.84,192.168.8.138,6,54
1784851848.8097014,62.182.85.45,192.168.8.138,6,430
1784851848.8807003,192.168.8.138,62.182.85.45,6,54
1784851849.0423026,62.182.85.45,192.168.8.138,6,430
1784851849.0985217,192.168.8.138,62.182.85.45,6,54
1784851850.8820002,62.182.85.45,192.168.8.138,6,430
1784851850.9380805,192.168.8.138,62.182.85.45,6,54
1784851850.986194,62.182.85.45,192.168.8.138,6,430
1784851851.0424662,192.168.8.138,62.182.85.45,6,54
1784851854.0483932,192.168.8.138,34.120.208.123,6,66
1784851854.1134512,34.120.208.123,192.168.8.138,6,66
1784851854.116943,192.168.8.138,34.120.208.123,6,54
1784851854.1189437,192.168.8.138,34.120.208.123,6,1454
1784851854.1204526,192.168.8.138,34.120.208.123,6,1143
1784851854.1777315,34.120.208.123,192.168.8.138,6,266
1784851854.1777315,192.168.8.138,34.120.208.123,6,118
1784851854.1777315,192.168.8.138,34.120.208.123,6,146
1784851854.1823168,192.168.8.138,34.120.208.123,6,450
1784851854.1823168,192.168.8.138,34.120.208.123,6,1454
1784851854.1823168,192.168.8.138,34.120.208.123,6,938
1784851854.193097,34.120.208.123,192.168.8.138,6,54
1784851854.1946044,34.120.208.123,192.168.8.138,6,54
1784851854.195613,192.168.8.138,34.120.208.123,6,54
1784851854.1966197,192.168.8.138,34.120.208.123,6,54
1784851854.2074094,192.168.8.138,34.111.211.209,6,66
1784851854.2112925,192.168.8.138,34.102.169.172,6,66
1784851854.2583766,34.120.208.123,192.168.8.138,6,672
1784851854.2627947,192.168.8.138,34.120.208.123,6,85
1784851854.2668455,34.120.208.123,192.168.8.138,6,85
1784851854.2701375,34.102.169.172,192.168.8.138,6,66
1784851854.2711535,192.168.8.138,34.102.169.172,6,54
1784851854.2721477,192.168.8.138,34.102.169.172,6,1454
1784851854.2731497,192.168.8.138,34.102.169.172,6,1167
1784851854.27415,34.111.211.209,192.168.8.138,6,66
1784851854.2751505,192.168.8.138,34.111.211.209,6,54
1784851854.2761574,192.168.8.138,34.111.211.209,6,1454
1784851854.2771845,192.168.8.138,34.111.211.209,6,1159
1784851854.281196,34.120.208.123,192.168.8.138,6,54
1784851854.2821956,34.120.208.123,192.168.8.138,6,54
1784851854.2909467,192.168.8.138,34.102.169.172,6,66
1784851854.2924688,192.168.8.138,34.102.169.172,6,66
1784851854.3215508,192.168.8.138,34.120.208.123,6,54
1784851854.3312457,34.120.208.123,192.168.8.138,6,54
1784851854.340821,34.102.169.172,192.168.8.138,6,66
1784851854.3417969,192.168.8.138,34.102.169.172,6,54
1784851854.342794,34.102.169.172,192.168.8.138,6,66
1784851854.3438606,192.168.8.138,34.102.169.172,6,54
1784851854.3438606,34.111.211.209,192.168.8.138,6,266
1784851854.3454354,34.102.169.172,192.168.8.138,6,266
1784851854.3454354,192.168.8.138,34.102.169.172,6,1454
1784851854.3464632,192.168.8.138,34.102.169.172,6,1167
1784851854.3464632,192.168.8.138,34.111.211.209,6,118
1784851854.3474488,192.168.8.138,34.102.169.172,6,118
1784851854.3474488,192.168.8.138,34.102.169.172,6,54
1784851854.3474488,192.168.8.138,34.111.211.209,6,146
1784851854.3474488,192.168.8.138,34.102.169.172,6,146
1784851854.3672032,34.102.169.172,192.168.8.138,6,54
1784851854.3681955,34.102.169.172,192.168.8.138,6,54
1784851854.3681955,34.111.211.209,192.168.8.138,6,54
1784851854.3681955,34.111.211.209,192.168.8.138,6,54
1784851854.3691933,192.168.8.138,34.102.169.172,6,54
1784851854.3691933,192.168.8.138,34.102.169.172,6,54
1784851854.3701968,192.168.8.138,34.111.211.209,6,54
1784851854.3701968,192.168.8.138,34.111.211.209,6,54
1784851854.4103708,34.102.169.172,192.168.8.138,6,672
1784851854.4113815,34.102.169.172,192.168.8.138,6,85
1784851854.4123976,34.111.211.209,192.168.8.138,6,672
1784851854.4133954,34.111.211.209,192.168.8.138,6,85
1784851854.4143994,34.102.169.172,192.168.8.138,6,54
1784851854.415398,192.168.8.138,34.102.169.172,6,54
1784851854.415398,192.168.8.138,34.102.169.172,6,54
1784851854.4164026,192.168.8.138,34.111.211.209,6,54
1784851854.4173925,34.102.169.172,192.168.8.138,6,266
1784851854.4183936,192.168.8.138,34.102.169.172,6,85
1784851854.4213958,192.168.8.138,34.111.211.209,6,85
1784851854.4223971,192.168.8.138,34.102.169.172,6,118
1784851854.4223971,192.168.8.138,34.102.169.172,6,163
1784851854.4238176,34.102.169.172,192.168.8.138,6,54
1784851854.4248328,34.102.169.172,192.168.8.138,6,54
1784851854.4248328,192.168.8.138,34.102.169.172,6,54
1784851854.4258318,192.168.8.138,34.102.169.172,6,54
1784851854.5272663,34.102.169.172,192.168.8.138,6,672
1784851854.5272663,34.102.169.172,192.168.8.138,6,85
1784851854.531267,192.168.8.138,34.102.169.172,6,54
1784851854.5322702,192.168.8.138,34.102.169.172,6,78
1784851854.5322702,192.168.8.138,34.102.169.172,6,54
1784851854.533266,34.102.169.172,192.168.8.138,6,54
1784851854.533266,34.111.211.209,192.168.8.138,6,54
1784851854.5342658,34.120.208.123,192.168.8.138,6,500
1784851854.5342658,34.120.208.123,192.168.8.138,6,308
1784851854.535268,34.120.208.123,192.168.8.138,6,93
1784851854.535268,192.168.8.138,34.120.208.123,6,54
1784851854.5364902,192.168.8.138,34.120.208.123,6,93
1784851854.5691996,34.102.169.172,192.168.8.138,6,54
1784851854.5691996,192.168.8.138,34.102.169.172,6,54
1784851854.5801444,34.102.169.172,192.168.8.138,6,54
1784851854.5812879,34.120.208.123,192.168.8.138,6,54
1784851857.195091,192.168.8.138,34.102.169.172,6,423
1784851857.2705977,34.102.169.172,192.168.8.138,6,54
1784851857.515929,34.102.169.172,192.168.8.138,6,647
1784851857.515929,34.102.169.172,192.168.8.138,6,1454
1784851857.5173604,192.168.8.138,34.102.169.172,6,54
1784851857.5173604,34.102.169.172,192.168.8.138,6,1454
1784851857.5173604,34.102.169.172,192.168.8.138,6,1454
1784851857.5173604,192.168.8.138,34.102.169.172,6,54
1784851857.518369,34.102.169.172,192.168.8.138,6,1417
1784851857.518369,34.102.169.172,192.168.8.138,6,1454
1784851857.5193686,192.168.8.138,34.102.169.172,6,54
1784851857.5193686,34.102.169.172,192.168.8.138,6,1454
1784851857.5193686,34.102.169.172,192.168.8.138,6,56
1784851857.520369,192.168.8.138,34.102.169.172,6,54
1784851857.5213943,34.102.169.172,192.168.8.138,6,1311
1784851857.530759,34.102.169.172,192.168.8.138,6,1311
